"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Date published","ISSN","URLs","DOI","Abstract","Keywords","Affiliation","Language"
"Journal Article","Tapeh AT,Naser MZ","Artificial Intelligence, Machine Learning, and Deep Learning in Structural Engineering: A Scientometrics Review of Trends and Best Practices","ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING","2023","30","1","115-159","SPRINGER","VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","2023-01","1134-3060","http://dx.doi.org/10.1007/s11831-022-09793-w","10.1007/s11831-022-09793-w","Artificial Intelligence (AI), machine learning (ML), and deep learning (DL) are emerging techniques capable of delivering elegant and affordable solutions which can surpass those obtained through traditional methods. Despite the recent and rapid advancements in developing next-gen AI-based techniques, we continue to lack a systemic understanding of how AI, ML, and DL can fundamentally be integrated into the structural engineering domain. To advocate for a smooth and expedite the adoption of AI techniques into our field, we present a state-of-the-art review that is specifically tailored to structural engineers. This review aims to serve three purposes: (1) introduce the art and science of AI, ML, and DL in terms of its commonly used algorithms and techniques with particular attention to those of high value to this domain, (2) map the current knowledge within this domain through a scientometrics analysis of more than 4000 scholarly works with a focus on those published in the last decade to identify best practices in terms of procedures, performance metrics, and dataset size etc., and (3) review past and recent efforts that applied AI derivatives into the various subfields within structural engineering. Special attention is given to the application of AI, ML, and DL in earthquake, wind, and fire engineering, as well as structural health monitoring, damage detection, and prediction of properties of structural materials as collected from over 200 sources. Finally, a discussion on trends, recommendations, best practices, and advanced topics towards the end of this review.","","Naser, MZ (Corresponding Author), Clemson Univ, Glenn Dept Civil Engn, Clemson, SC 29634 USA. Naser, MZ (Corresponding Author), Clemson Univ, AI Res Inst Sci & Engn AIRISE, Clemson, SC 29634 USA. Tapeh, Arash Teymori Gharah; Naser, M. Z., Clemson Univ, Glenn Dept Civil Engn, Clemson, SC 29634 USA. Naser, M. Z., Clemson Univ, AI Res Inst Sci & Engn AIRISE, Clemson, SC 29634 USA.","English"
"Journal Article","Ahmad K,Abdelrazek M,Arora C,Bano M,Grundy J","Requirements practices and gaps when engineering human-centered Artificial Intelligence systems","APPLIED SOFT COMPUTING","2023","143","","","ELSEVIER","RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","2023-08","1568-4946","http://dx.doi.org/10.1016/j.asoc.2023.110421","10.1016/j.asoc.2023.110421","Context: Engineering Artificial Intelligence (AI) software is a relatively new area with many challenges, unknowns, and limited proven best practices. Big companies such as Google, Microsoft, and Apple have provided a suite of recent guidelines to assist engineering teams in building human-centered AI systems.Objective: The practices currently adopted by practitioners for developing such systems, especially during Requirements Engineering (RE), are little studied and reported to date. Method: This paper presents the results of a survey conducted to understand current industry practices in RE for AI (RE4AI) and to determine which key human-centered AI guidelines should be followed. Our survey is based on mapping existing industrial guidelines, best practices, and efforts in the literature.Results: We surveyed 29 professionals and found most participants agreed that all the human-centered aspects we mapped should be addressed in RE. Further, we found that most participants were using UML or Microsoft Office to present requirements.Conclusion: We identify that most of the tools currently used are not equipped to manage AI-based software, and the use of UML and Office may pose issues with the quality of requirements captured for AI. Also, all human-centered practices mapped from the guidelines should be included in RE. & COPY; 2023 The Author(s). Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).","Requirements engineering; Software engineering; Artificial Intelligence; Machine learning; Human -centered; Survey research","Ahmad, K (Corresponding Author), Deakin Univ, Geelong, Vic, Australia. Ahmad, Khlood; Abdelrazek, Mohamed, Deakin Univ, Geelong, Vic, Australia. Bano, Muneera, CSIROs Data61, Clayton, Vic, Australia. Arora, Chetan; Grundy, John, Monash Univ, Clayton, Vic, Australia.","English"
"Journal Article","Wang L,Zhang Z,Wang D,Cao W,Zhou X,Zhang P,Liu J,Fan X,Tian F","Human-centered design and evaluation of AI-empowered clinical decision support systems: a systematic review","FRONTIERS IN COMPUTER SCIENCE","2023","5","","","FRONTIERS MEDIA SA","AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND","2023-06-02","","http://dx.doi.org/10.3389/fcomp.2023.1187299","10.3389/fcomp.2023.1187299","Introduction: Artificial intelligence (AI) technologies are increasingly applied to empower clinical decision support systems (CDSS), providing patient-specific recommendations to improve clinical work. Equally important to technical advancement is human, social, and contextual factors that impact the successful implementation and user adoption of AI-empowered CDSS (AI-CDSS). With the growing interest in human-centered design and evaluation of such tools, it is critical to synthesize the knowledge and experiences reported in prior work and shed light on future work. Methods: Following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, we conducted a systematic review to gain an in-depth understanding of how AI-empowered CDSS was used, designed, and evaluated, and how clinician users perceived such systems. We performed literature search in five databases for articles published between the years 2011 and 2022. A total of 19874 articles were retrieved and screened, with 20 articles included for in-depth analysis. Results: The reviewed studies assessed di erent aspects of AI-CDSS, including e ectiveness (e.g., improved patient evaluation and work eficiency), user needs (e.g., informational and technological needs), user experience (e.g., satisfaction, trust, usability, workload, and understandability), and other dimensions (e.g., the impact of AI-CDSS on workflow and patient-provider relationship). Despite the promising nature of AI-CDSS, our findings highlighted six major challenges of implementing such systems, including technical limitation, workflow misalignment, attitudinal barriers, informational barriers, usability issues, and environmental barriers. These sociotechnical challenges prevent the e ective use of AI-based CDSS interventions in clinical settings. Discussion: Our study highlights the paucity of studies examining the user needs, perceptions, and experiences of AI-CDSS. Based on the findings, we discuss design implications and future research directions.","artificial intelligence; clinical decision support system; human-centered AI; user experience; healthcare; literature review","Zhang, Z (Corresponding Author), Pace Univ, Sch Comp Sci & Informat Syst, New York, NY 10038 USA. Wang, Liuping; Liu, Jianxing; Fan, Xiangmin; Tian, Feng, Chinese Acad Sci, Inst Software, Beijing, Peoples R China. Wang, Liuping; Liu, Jianxing; Fan, Xiangmin; Tian, Feng, Univ Chinese Acad Sci, Sch Comp Sci & Technol, Beijing, Peoples R China. Zhang, Zhan, Pace Univ, Sch Comp Sci & Informat Syst, New York, NY 10038 USA. Wang, Dakuo, Northeastern Univ, Khoury Coll Comp Sci, Boston, MA USA. Cao, Weidan, Washington State Univ, Edward R Murrow Coll Commun, Pullman, WA USA. Zhou, Xiaomu, Northeastern Univ, Coll Profess Studies, Boston, MA USA. Zhang, Ping, Ohio State Univ, Dept Comp Sci & Engn, Columbus, OH USA. Zhang, Ping, Ohio State Univ, Dept Biomed Informat, Columbus, OH USA.","English"
"Journal Article","Shahriar S,Allana S,Hazratifard SM,Dara R","A Survey of Privacy Risks and Mitigation Strategies in the Artificial Intelligence Life Cycle","IEEE ACCESS","2023","11","","61829-61854","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","2023","2169-3536","http://dx.doi.org/10.1109/ACCESS.2023.3287195","10.1109/ACCESS.2023.3287195","Over the decades, Artificial Intelligence (AI) and machine learning has become a transformative solution in many sectors, services, and technology platforms in a wide range of applications, such as in smart healthcare, financial, political, and surveillance systems. In such applications, a large amount of data is generated about diverse aspects of our life. Although utilizing AI in real-world applications provides numerous opportunities for societies and industries, it raises concerns regarding data privacy. Data used in an AI system are cleaned, integrated, and processed throughout the AI life cycle. Each of these stages can introduce unique threats to individual's privacy and have an impact on ethical processing and protection of data. In this paper, we examine privacy risks in different phases of the AI life cycle and review the existing privacy-enhancing solutions. We introduce four different categories of privacy risk, including (i) risk of identification, (ii) risk of making an inaccurate decision, (iii) risk of non-transparency in AI systems, and (iv) risk of non-compliance with privacy regulations and best practices. We then examined the potential privacy risks in each AI life cycle phase, evaluated concerns, and reviewed privacy-enhancing technologies, requirements, and process solutions to countermeasure these risks. We also reviewed some of the existing privacy protection policies and the need for compliance with available privacy regulations in AI-based systems. The main contribution of this survey is examining privacy challenges and solutions, including technology, process, and privacy legislation in the entire AI life cycle. In each phase of the AI life cycle, open challenges have been identified.","Artificial intelligence; machine learning; AI life cycle; privacy risk; privacy legislation; privacy enhancing solutions","Dara, R (Corresponding Author), Univ Guelph, Sch Comp Sci, Guelph, ON N1G 2W1, Canada. Shahriar, Sakib; Allana, Sonal; Dara, Rozita, Univ Guelph, Sch Comp Sci, Guelph, ON N1G 2W1, Canada. Hazratifard, Seyed Mehdi, Univ Victoria, Dept Elect & Comp Engn, Victoria, BC V8W 2Y2, Canada.","English"
"Journal Article","Chen YH","An adaptive heuristic algorithm to solve the network slicing resource management problem","INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS","2023","36","8","","WILEY","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","2023-05-25","1074-5351","http://dx.doi.org/10.1002/dac.5463","10.1002/dac.5463","Artificial intelligence-based (AI-based) network slicing bandwidth allocation enables the 5G/6G service providers to create multiple virtual networks atop a shared physical infrastructure while fulfilling varying end-user demands. Some researchers argue that AI-enable network may run the danger of having private information compromised. We still need a backup rule-based methodology to allocate bandwidth resource to each slice, if the AI-based method suddenly encounters security issues. To design such a rule-based methodology, this study attempts to answer two questions: (1) Is the network slicing bandwidth allocation problem the nondeterministic polynomial-time completeness (NP-completeness)? (2) Is there a heuristic methodology without any training process, which has equivalent performance compared to the AI-based methodology? This study first proves the classical network slicing bandwidth allocation problems is NP-completeness. This shows that the designed heuristic method is inescapably suboptimal to the network slicing bandwidth allocation problem. Secondly, this study proposes the Adaptive Hungarian Algorithm (AHA), which outperforms previous AI-empowered method and does not need any training process. The experiments demonstrate that AHA reached 93%-97% of the maximal system throughput by brute-and-force algorithm, compared to other methodologies only having at most 93% of the maximal system throughput. This also indicates that AHA is capable to solve the network slicing bandwidth allocation problem, if the telecommunication operators do not have sufficient sample complexity to train an AI model.","channel allocation; complexity; network slicing; NP-completeness","Chen, YH (Corresponding Author), Natl Taipei Univ, Dept Informat Management, Nursing & Hlth Sci, Taipei, Taiwan. Chen, Yen-Hung, Natl Taipei Univ Nursing & Hlth Sci, Dept Informat Management, Taipei, ROC, Taipei, Taiwan. Chen, Yen-Hung, Natl Taipei Univ, Dept Informat Management, Nursing & Hlth Sci, Taipei, Taiwan.","English"
"Journal Article","Nandutu I,Atemkeng M,Okouma P","Integrating AI ethics in wildlife conservation AI systems in South Africa: a review, challenges, and future research agenda","AI & SOCIETY","2023","38","1","245-257","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES","2023-02","0951-5666","http://dx.doi.org/10.1007/s00146-021-01285-y","10.1007/s00146-021-01285-y","With the increased use of Artificial Intelligence (AI) in wildlife conservation, issues around whether AI-based monitoring tools in wildlife conservation comply with standards regarding AI Ethics are on the rise. This review aims to summarise current debates and identify gaps as well as suggest future research by investigating (1) current AI Ethics and AI Ethics issues in wildlife conservation, (2) Initiatives Stakeholders in AI for wildlife conservation should consider integrating AI Ethics in wildlife conservation. We find that the existing literature weakly focuses on AI Ethics and AI Ethics in wildlife conservation while at the same time ignores AI Ethics integration in AI systems for wildlife conservation. This paper formulates an ethically aligned AI system framework and discusses pre-eminent on-demand AI systems in wildlife conservation. The proposed framework uses agile software life cycle methodology to implement guidelines towards the ethical upgrade of any existing AI system or the development of any new ethically aligned AI system. The guidelines enforce, among others, the minimisation of intentional harm and bias, diversity in data collection, design compliance, auditing of all activities in the framework and ease of code inspection. This framework will inform AI developers, users, conservationists, and policymakers on what to consider when integrating AI Ethics into AI-based systems for wildlife conservation.","Wildlife conservation concerns; Human-wildlife conflicts; AI Ethics; AI in wildlife conservation; AI Ethics integration; Artificial intelligence","Nandutu, I (Corresponding Author), Rhodes Univ, Dept Math, ZA-6139 Grahamstown, South Africa. Nandutu, Irene; Atemkeng, Marcellin; Okouma, Patrice, Rhodes Univ, Dept Math, ZA-6139 Grahamstown, South Africa.","English"
"Journal Article","Tan R,Shi Y,Fan Y,Zhu W,Wu T","Energy Saving Technologies and Best Practices for 5G Radio Access Network","IEEE ACCESS","2022","10","","51747-51756","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","2022","2169-3536","http://dx.doi.org/10.1109/ACCESS.2022.3174089","10.1109/ACCESS.2022.3174089","This article identifies energy-saving potential of the fifth generation (5G) Radio Access Network, and describes main energy-saving principles and technologies. It explores how to use network energy saving technologies, such as carrier shutdown, channel shutdown, and symbol shutdown in 5G network, that have been inherited from 4G. Some enhanced technologies for 5G like equipment deep sleep and symbol aggregation have also been introduced in this article. However, it is far from enough and an innovative energy-saving solution should be considered. To meet the requirements and development of intelligent and self-adaptive energy-saving solution, Artificial Intelligence (AI) and big data analysis are introduced to form a more precise energy-saving strategy based on site-specific traffic and site-related conditions, thus improving the efficiency and reducing the manpower. Finally, two commercial application practices of AI-based energy-saving solution are elaborated. One is the practice of AI-based service awareness energy saving for 4G/5G collaborative networks, the energy benefits can be improved up to 20%; The other practice is the adoption of a new architecture Active Antenna Unit (AAU) with beam pattern optimization, its energy benefits can be promoted by 30%. These two practices could help mobile network operators (MNOs) to achieve the most energy-efficient network with good network performance and lower Operating Expense (OPEX).","5G mobile communication; Symbols; Power demand; Artificial intelligence; Time-domain analysis; Radio frequency; Base stations; 5G; artificial intelligence; base station; energy efficiency; energy saving; radio access network","Wu, T (Corresponding Author), Natl Inst Metrol, Beijing 100029, Peoples R China. Tan, Rumeng; Shi, Ying, China Telecom Res Inst, Guangzhou 510630, Peoples R China. Fan, Yingying, ZTE Corp, Shanghai Res Inst, Shanghai 201203, Peoples R China. Zhu, Wentao, China Mobile Grp, Design Inst Co Ltd, Beijing 100080, Peoples R China. Wu, Tong, Natl Inst Metrol, Beijing 100029, Peoples R China.","English"
"Journal Article","Graille M,Sacquin-Mora S,Taly A","Best Practices of Using AI-Based Models in Crystallography and Their Impact in Structural Biology","JOURNAL OF CHEMICAL INFORMATION AND MODELING","2023","","","","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, DC 20036 USA","2023","1549-9596","http://dx.doi.org/10.1021/acs.jcim.3c00381","10.1021/acs.jcim.3c00381","The recent breakthrough made in the field of three-dimensional(3D) structure prediction by artificial intelligence softwares, suchas initially AlphaFold2 (AF2) and RosettaFold (RF) and more recentlylarge Language Models (LLM), has revolutionized the field of structuralbiology in particular and also biology as a whole. These models haveclearly generated great enthusiasm within the scientific community,and different applications of these 3D predictions are regularly describedin scientific articles, demonstrating the impact of these high-qualitymodels. Despite the acknowledged high accuracy of these models ingeneral, it seems important to make users of these models aware ofthe wealth of information they offer and to encourage them to makethe best use of them. Here, we focus on the impact of these modelsin a specific application by structural biologists using X-ray crystallography.We propose guidelines to prepare models to be used for molecular replacementtrials to solve the phase problem. We also encourage colleagues toshare as much detail as possible about how they use these models intheir research, where the models did not yield correct molecular replacementsolutions, and how these predictions fit with their experimental 3Dstructure. We feel this is important to improve the pipelines usingthese models and also to get feedback on their overall quality.","","Taly, A (Corresponding Author), Univ Paris Cite, CNRS, Lab Biochim Theor, F-75005 Paris, France. Graille, Marc, Ecole Polytech, Inst Polytech Paris, CNRS, Lab Biol Struct Cellule BIOC, F-91120 Palaiseau, France. Sacquin-Mora, Sophie; Taly, Antoine, Univ Paris Cite, CNRS, Lab Biochim Theor, F-75005 Paris, France.","English"
"Journal Article","Voessing M,Kuehl N,Lind M,Satzger G","Designing Transparency for Effective Human-AI Collaboration","INFORMATION SYSTEMS FRONTIERS","2022","24","3, SI","877-895","SPRINGER","VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","2022-06","1387-3326","http://dx.doi.org/10.1007/s10796-022-10284-3","10.1007/s10796-022-10284-3","The field of artificial intelligence (AI) is advancing quickly, and systems can increasingly perform a multitude of tasks that previously required human intelligence. Information systems can facilitate collaboration between humans and AI systems such that their individual capabilities complement each other. However, there is a lack of consolidated design guidelines for information systems facilitating the collaboration between humans and AI systems. This work examines how agent transparency affects trust and task outcomes in the context of human-AI collaboration. Drawing on the 3-Gap framework, we study agent transparency as a means to reduce the information asymmetry between humans and the AI. Following the Design Science Research paradigm, we formulate testable propositions, derive design requirements, and synthesize design principles. We instantiate two design principles as design features of an information system utilized in the hospitality industry. Further, we conduct two case studies to evaluate the effects of agent transparency: We find that trust increases when the AI system provides information on its reasoning, while trust decreases when the AI system provides information on sources of uncertainty. Additionally, we observe that agent transparency improves task outcomes as it enhances the accuracy of judgemental forecast adjustments.","Agent transparency; Design science research; Human-AI collaboration; Human-AI interaction; Trust","Vössing, M (Corresponding Author), Karlsruhe Inst Technol, Kaiserstr 89, D-76133 Karlsruhe, Germany. Voessing, Michael; Kuehl, Niklas; Lind, Matteo; Satzger, Gerhard, Karlsruhe Inst Technol, Kaiserstr 89, D-76133 Karlsruhe, Germany.","English"
"Journal Article","Sonntag M,Mehmann J,Teuteberg F","DERIVING TRUST-SUPPORTING DESIGN KNOWLEDGE FOR AI-BASED CHATBOTS IN CUSTOMER SERVICE: A USE CASE FROM THE AUTOMOTIVE INDUSTRY","JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE","2023","","","","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA","2023","1091-9392","http://dx.doi.org/10.1080/10919392.2023.2276631","10.1080/10919392.2023.2276631","In the automotive industry, companies are increasingly implementing Artificial Intelligence (AI)-based chatbots to support various processes, especially in the context of customer service. However, there currently is a lack of knowledge, especially systematically derived design knowledge, regarding customer trust in interacting with AI-based chatbots. In this context, a lack of security and transparency, limited social features, and the communication style and quality-related issues of AI-based chatbots are just a few aspects that inhibit customer trust in interacting with this innovative technology, thereby hindering the adoption of chatbots. To address this knowledge gap, we adopted a design theory-based approach and developed a design concept for trust-supporting design knowledge regarding customer interaction with an AI-based chatbot. Design science provides a structured development and evaluation process to support, for example, the adoption of AI-based chatbots. Drawing on trust-based literature, a use case in customer service in the automotive industry, and seven semi-structured expert interviews, we propose 10 meta/user requirements and four design principles for trust-supporting design elements as (e.g. social) signals (stimuli) regarding the interaction with AI-based chatbots. We developed two click prototypes over two evaluation cycles. Each evaluation included an online survey with 180 participants. The findings that were obtained make a valuable contribution to solving the described lack of design knowledge by developing and evaluating different design approaches in the form of prototypical user interfaces. Moreover, the results show that visible design elements such as transparent and factual security signals (stimuli) and trust seals have a significant impact on customer trust.","AI-based chatbot; customer service; trust signal; design science research","Sonntag, M (Corresponding Author), Jade Univ Appl Sci, Dept Maritime & Logist, Elsfleth, Germany. Sonntag, Martin; Mehmann, Jens, Jade Univ Appl Sci, Dept Maritime & Logist, Elsfleth, Germany. Teuteberg, Frank, Osnabruck Univ, Dept Accounting & Informat Syst, Elsfleth, Germany.","English"
